,wr_ratio,wr_size,q_dep,wr_rnd,wr_stride,bindwidth,throughput,latency
0,0.0,16.0,16.0,0.0,0.0,17.18,1096.0,14.58
1,0.0,16.0,16.0,0.0,1.0,11.59,738.0,21.67
4,0.0,16.0,16.0,0.0,64.0,11.77,750.0,21.33
5,0.0,16.0,16.0,100.0,0.0,11.77,750.0,21.33
6,0.0,16.0,1.0,0.0,0.0,13.26,849.0,1.18
7,0.0,16.0,1.0,0.0,1.0,10.35,662.0,1.51
8,0.0,16.0,1.0,0.0,128.0,10.52,673.0,1.48
10,0.0,16.0,1.0,0.0,64.0,10.53,674.0,1.48
12,0.0,16.0,4.0,0.0,0.0,15.04,962.0,4.16
14,0.0,16.0,4.0,0.0,128.0,11.57,739.0,5.41
16,0.0,16.0,4.0,0.0,64.0,11.3,723.0,5.53
18,0.0,16.0,64.0,0.0,0.0,17.72,1121.0,57.02
19,0.0,16.0,64.0,0.0,1.0,11.7,736.0,86.92
20,0.0,16.0,64.0,0.0,128.0,11.94,751.0,85.14
21,0.0,16.0,64.0,0.0,256.0,11.95,752.0,85.09
23,0.0,16.0,64.0,100.0,0.0,12.05,758.0,84.65
24,0.0,1.0,16.0,0.0,0.0,8.98,9197.0,1.74
29,0.0,1.0,16.0,100.0,0.0,1.73,1772.0,9.03
30,0.0,1.0,1.0,0.0,0.0,3.92,4009.0,0.25
32,0.0,1.0,1.0,0.0,128.0,1.62,1654.0,0.6
33,0.0,1.0,1.0,0.0,256.0,1.58,1620.0,0.61
34,0.0,1.0,1.0,0.0,64.0,1.59,1632.0,0.61
37,0.0,1.0,4.0,0.0,1.0,1.72,1755.0,2.28
38,0.0,1.0,4.0,0.0,128.0,1.67,1710.0,2.34
39,0.0,1.0,4.0,0.0,256.0,1.73,1766.0,2.26
40,0.0,1.0,4.0,0.0,64.0,1.72,1762.0,2.27
41,0.0,1.0,4.0,100.0,0.0,1.7,1745.0,2.29
44,0.0,1.0,64.0,0.0,128.0,1.8,1827.0,35.02
45,0.0,1.0,64.0,0.0,256.0,1.78,1812.0,35.32
46,0.0,1.0,64.0,0.0,64.0,1.77,1797.0,35.61
47,0.0,1.0,64.0,100.0,0.0,1.75,1780.0,35.98
48,0.0,256.0,16.0,0.0,0.0,18.3,70.0,228.19
49,0.0,256.0,16.0,0.0,1.0,18.0,69.0,232.64
50,0.0,256.0,16.0,0.0,128.0,18.0,69.0,232.57
51,0.0,256.0,16.0,0.0,256.0,18.0,69.0,233.34
52,0.0,256.0,16.0,0.0,64.0,18.0,69.0,232.6
54,0.0,256.0,1.0,0.0,0.0,16.59,66.0,15.09
55,0.0,256.0,1.0,0.0,1.0,16.3,65.0,15.39
56,0.0,256.0,1.0,0.0,128.0,16.45,66.0,15.25
57,0.0,256.0,1.0,0.0,256.0,16.3,65.0,15.38
59,0.0,256.0,1.0,100.0,0.0,16.4,65.0,15.26
60,0.0,256.0,4.0,0.0,0.0,17.4,69.0,58.12
61,0.0,256.0,4.0,0.0,1.0,17.05,67.0,59.29
62,0.0,256.0,4.0,0.0,128.0,17.1,68.0,59.19
63,0.0,256.0,4.0,0.0,256.0,17.15,68.0,59.13
66,0.0,256.0,64.0,0.0,0.0,20.75,70.0,906.66
67,0.0,256.0,64.0,0.0,1.0,20.4,69.0,927.42
68,0.0,256.0,64.0,0.0,128.0,20.55,69.0,922.33
71,0.0,256.0,64.0,100.0,0.0,20.6,70.0,929.79
75,0.0,4.0,16.0,0.0,256.0,5.65,1443.0,11.08
76,0.0,4.0,16.0,0.0,64.0,5.67,1448.0,11.04
77,0.0,4.0,16.0,100.0,0.0,5.68,1451.0,11.02
78,0.0,4.0,1.0,0.0,0.0,8.74,2236.0,0.45
80,0.0,4.0,1.0,0.0,128.0,5.26,1346.0,0.74
82,0.0,4.0,1.0,0.0,64.0,5.18,1326.0,0.75
84,0.0,4.0,4.0,0.0,0.0,9.87,2525.0,1.58
85,0.0,4.0,4.0,0.0,1.0,5.25,1343.0,2.98
86,0.0,4.0,4.0,0.0,128.0,5.52,1413.0,2.83
87,0.0,4.0,4.0,0.0,256.0,5.62,1438.0,2.78
88,0.0,4.0,4.0,0.0,64.0,5.51,1410.0,2.83
89,0.0,4.0,4.0,100.0,0.0,5.5,1407.0,2.84
90,0.0,4.0,64.0,0.0,0.0,17.15,4379.0,14.61
91,0.0,4.0,64.0,0.0,1.0,5.52,1399.0,45.73
92,0.0,4.0,64.0,0.0,128.0,5.79,1470.0,43.54
